iter	Passed	Remaining
472	674	751
473	675	749
474	676	747
475	677	745
476	678	743
477	679	741
478	680	739
479	681	737
480	683	737
481	684	735
482	685	733
483	686	731
484	687	729
485	688	727
486	689	726
487	690	724
488	691	722
489	692	720
490	692	718
491	693	716
492	694	714
493	695	712
494	697	711
495	698	709
496	699	707
497	700	705
498	700	703
499	701	701
500	702	699
501	703	697
502	704	695
503	705	693
504	705	692
505	706	690
506	707	688
507	708	686
508	709	684
509	711	683
510	712	681
511	713	680
512	715	679
513	716	677
514	717	675
515	717	673
516	718	671
517	720	670
518	720	668
519	721	666
520	722	664
521	723	662
522	724	660
523	725	659
524	726	657
525	727	656
526	728	654
527	729	652
528	730	650
529	731	648
530	732	646
531	733	644
532	734	643
533	734	641
534	735	639
535	736	637
536	738	636
537	739	634
538	740	633
539	741	631
540	742	629
541	743	627
542	743	625
543	744	624
544	745	622
545	746	620
546	747	618
547	748	617
548	748	615
549	749	613
550	750	611
551	751	609
552	752	608
553	754	607
554	755	605
555	756	603
556	756	601
557	757	600
558	758	598
559	759	596
560	760	595
561	761	593
562	762	591
563	763	590
564	764	588
565	764	586
566	766	585
567	766	583
568	768	582
569	769	580
570	770	578
571	771	577
572	772	575
573	772	573
574	773	571
575	774	570
576	775	568
577	776	567
578	777	565
579	778	564
580	779	562
581	780	560
582	781	559
583	782	557
584	784	556
585	784	554
586	785	552
587	786	551
588	787	549
589	788	548
590	789	546
591	790	545
592	791	543
593	792	541
594	793	540
595	794	538
596	800	540
597	802	539
598	802	537
599	803	535
600	804	534
601	805	532
602	806	531
603	807	529
604	808	527
605	808	525
606	809	524
607	810	522
608	812	521
609	813	520
610	814	518
611	815	517
612	816	515
613	817	514
614	818	512
615	819	511
616	820	509
617	821	507
618	822	506
619	823	504
620	824	503
621	825	501
622	826	500
623	828	499
624	829	497
625	830	496
626	831	494
627	831	492
628	832	491
629	833	489
630	834	488
631	835	486
632	836	485
633	837	483
634	838	482
635	839	480
636	840	478
637	842	477
638	843	476
639	844	475
640	846	473
641	847	472
642	848	470
643	849	469
644	849	467
645	850	466
646	851	464
647	852	463
648	853	461
649	854	460
650	855	458
651	857	457
652	859	456
653	860	455
654	860	453
655	862	452
656	863	450
657	864	449
658	865	447
659	866	446
660	867	444
661	868	443
662	869	441
663	870	440
664	871	439
665	873	438
666	874	436
667	875	435
668	876	433
669	877	432
670	878	430
671	879	429
672	880	427
673	881	426
674	882	424
675	882	423
676	883	421
677	884	420
678	887	419
679	888	418
680	889	416
681	890	415
682	891	413
683	891	412
684	892	410
685	893	408
686	894	407
687	894	405
688	895	404
689	896	402
690	897	401
691	898	399
692	899	398
693	901	397
694	902	396
695	904	394
696	904	393
697	905	391
698	906	390
699	907	388
700	908	387
701	909	385
702	910	384
703	911	383
704	912	381
705	913	380
706	914	378
707	916	378
708	918	376
709	919	375
710	920	374
711	920	372
712	921	371
713	922	369
714	923	368
715	925	366
716	925	365
717	927	364
718	928	362
719	929	361
720	930	360
721	932	358
722	933	357
723	934	356
724	935	354
725	936	353
726	937	351
727	937	350
728	938	348
729	939	347
730	940	346
731	941	344
732	942	343
733	943	341
734	945	340
735	946	339
736	947	338
737	948	336
738	950	335
739	951	334
740	952	333
741	953	331
742	954	330
743	955	328
744	956	327
745	961	327
746	962	326
747	963	324
748	965	323
749	966	322
750	968	320
751	969	319
752	970	318
753	971	316
754	973	316
755	975	314
756	976	313
757	977	311
758	978	310
759	979	309
760	980	307
761	981	306
762	982	305
763	983	303
764	984	302
765	985	301
766	986	299
767	987	298
768	989	297
769	990	295
770	991	294
771	992	293
772	993	291
773	994	290
774	995	288
775	996	287
776	998	286
777	999	285
778	999	283
779	1000	282
780	1003	281
781	1007	280
782	1008	279
783	1009	278
784	1010	276
785	1011	275
786	1012	273
787	1012	272
788	1013	271
789	1014	269
790	1015	268
791	1016	266
792	1020	266
793	1021	265
794	1022	263
795	1023	262
796	1024	260
797	1024	259
798	1025	258
799	1026	256
800	1027	255
801	1028	253
802	1028	252
803	1029	250
804	1030	249
805	1031	248
806	1033	247
807	1035	245
808	1036	244
809	1037	243
810	1038	241
811	1038	240
812	1039	239
813	1040	237
814	1041	236
815	1041	234
816	1042	233
817	1043	232
818	1044	230
819	1045	229
820	1047	228
821	1048	227
822	1049	225
823	1050	224
824	1051	223
825	1052	221
826	1053	220
827	1053	218
828	1054	217
829	1055	216
830	1056	214
831	1057	213
832	1058	212
833	1059	210
834	1060	209
835	1062	208
836	1063	207
837	1064	205
838	1066	204
839	1066	203
840	1067	201
841	1068	200
842	1069	199
843	1069	197
844	1070	196
845	1071	195
846	1072	193
847	1073	192
848	1073	191
849	1074	189
850	1076	188
851	1077	187
852	1078	185
853	1079	184
854	1080	183
855	1081	181
856	1082	180
857	1083	179
858	1083	177
859	1084	176
860	1085	175
861	1086	173
862	1086	172
863	1087	171
864	1089	169
865	1092	169
866	1094	167
867	1095	166
868	1096	165
869	1096	163
870	1097	162
871	1098	161
872	1100	160
873	1100	158
874	1101	157
875	1102	156
876	1103	154
877	1104	153
878	1106	152
879	1107	151
880	1108	149
881	1109	148
882	1110	147
883	1111	145
884	1112	144
885	1113	143
886	1114	141
887	1114	140
888	1115	139
889	1116	138
890	1117	136
891	1118	135
892	1119	134
893	1120	132
894	1121	131
895	1122	130
896	1123	129
897	1124	127
898	1124	126
899	1125	125
900	1126	123
901	1127	122
902	1128	121
903	1128	119
904	1129	118
905	1130	117
906	1131	115
907	1131	114
908	1132	113
909	1133	112
910	1135	110
911	1136	109
912	1137	108
913	1138	107
914	1139	105
915	1140	104
916	1140	103
917	1141	101
918	1142	100
919	1143	99
920	1144	98
921	1145	96
922	1146	95
923	1146	94
924	1147	93
925	1148	91
926	1149	90
927	1150	89
928	1151	88
929	1152	86
930	1153	85
931	1154	84
932	1154	82
933	1155	81
934	1156	80
935	1157	79
936	1158	77
937	1158	76
938	1159	75
939	1160	74
940	1161	72
941	1162	71
942	1163	70
943	1164	69
944	1165	67
945	1166	66
946	1167	65
947	1167	64
948	1168	62
949	1169	61
950	1169	60
951	1170	59
952	1171	57
953	1172	56
954	1172	55
955	1173	54
956	1174	52
957	1174	51
958	1175	50
959	1176	49
960	1176	47
961	1178	46
962	1180	45
963	1181	44
964	1181	42
965	1182	41
966	1183	40
967	1183	39
968	1184	37
969	1185	36
970	1186	35
971	1187	34
972	1187	32
973	1188	31
974	1189	30
975	1189	29
976	1190	28
977	1191	26
978	1191	25
979	1193	24
980	1194	23
981	1195	21
982	1196	20
983	1197	19
984	1198	18
985	1199	17
986	1199	15
987	1200	14
988	1201	13
989	1202	12
990	1202	10
991	1203	9
992	1204	8
993	1204	7
994	1205	6
995	1206	4
996	1207	3
997	1208	2
998	1209	1
999	1210	0
